ID,region,type.of.place.of.residence,wealth.index.combined,sex.of.household.member,age.of.household.members,highest.educational.level.attained,current.marital.status,group
1677,limpopo,rural,poorest,female,26,secondary,never married,1
1678,limpopo,rural,poorest,female,17,secondary,never married,1
1679,limpopo,rural,poorer,male,44,secondary,married,1
1680,limpopo,rural,poorer,male,21,secondary,never married,2
1681,limpopo,rural,poorest,male,48,secondary,divorced/separated,1
1682,limpopo,rural,middle,male,41,secondary,married,2
1683,limpopo,rural,middle,female,31,secondary,married,3
1684,limpopo,rural,middle,female,76,primary,divorced/separated,1
1685,limpopo,rural,poorer,female,70,"no education, preschool",widowed,1
1686,limpopo,rural,poorest,female,79,"no education, preschool",widowed,1
1687,limpopo,rural,poorest,male,76,"no education, preschool",married,1
1688,limpopo,rural,poorest,female,72,primary,married,1
1689,limpopo,rural,poorest,male,82,"no education, preschool",married,4
1690,limpopo,rural,poorest,female,82,"no education, preschool",married,1
1691,limpopo,rural,poorer,female,62,primary,married,4
1692,limpopo,rural,poorest,female,78,"no education, preschool",widowed,4
1693,limpopo,rural,poorest,male,27,"no education, preschool",never married,2
1694,limpopo,rural,poorest,male,44,don't know,married,2
1695,limpopo,rural,poorest,female,30,secondary,married,1
1696,limpopo,rural,middle,male,35,primary,never married,2
1697,limpopo,rural,middle,female,19,secondary,never married,1
1698,limpopo,rural,middle,male,16,primary,never married,2
1699,north west,rural,poorest,male,55,primary,married,2
1700,north west,rural,poorest,female,46,"no education, preschool",married,1
1701,north west,rural,poorest,female,28,primary,never married,4
1702,north west,rural,richer,female,31,higher,married,2
1703,north west,rural,richer,female,50,secondary,divorced/separated,1
1704,north west,rural,poorer,female,60,"no education, preschool",married,1
1705,north west,rural,poorer,female,20,secondary,never married,1
1706,north west,rural,poorer,female,57,secondary,widowed,4
1707,north west,rural,poorest,female,33,primary,married,4
1708,north west,rural,richer,female,75,secondary,widowed,3
1709,north west,rural,richer,male,24,secondary,never married,4
1710,north west,rural,poorest,male,50,secondary,widowed,2
1711,north west,rural,middle,male,60,secondary,married,3
1712,north west,rural,middle,female,53,primary,married,3
1713,north west,rural,middle,female,27,higher,never married,3
1714,north west,rural,middle,male,19,secondary,never married,2
1715,north west,rural,middle,female,19,secondary,never married,1
1716,kwazulu-natal,urban,middle,female,28,secondary,never married,1
1717,kwazulu-natal,urban,poorer,female,21,secondary,married,3
1718,kwazulu-natal,urban,middle,female,17,secondary,never married,1
1719,kwazulu-natal,urban,middle,male,62,primary,married,2
1720,kwazulu-natal,urban,middle,female,57,primary,married,3
1721,kwazulu-natal,urban,middle,female,29,secondary,never married,4
1722,kwazulu-natal,urban,middle,female,25,secondary,never married,1
1723,kwazulu-natal,urban,middle,female,37,secondary,never married,1
1724,kwazulu-natal,urban,middle,male,19,secondary,never married,2
1725,kwazulu-natal,urban,middle,female,36,secondary,never married,1
1726,kwazulu-natal,urban,poorer,male,28,secondary,never married,1
1727,gauteng,urban,poorer,male,26,secondary,never married,2
1728,gauteng,urban,middle,female,27,secondary,never married,3
1729,eastern cape,rural,middle,female,39,secondary,never married,4
1730,eastern cape,rural,middle,male,36,primary,never married,2
1731,eastern cape,rural,middle,male,23,higher,never married,2
1732,eastern cape,rural,middle,female,18,secondary,never married,2
1733,eastern cape,rural,poorest,male,71,"no education, preschool",married,1
1734,eastern cape,rural,poorest,female,45,secondary,married,4
1735,eastern cape,rural,poorer,male,65,secondary,married,4
1736,eastern cape,rural,poorer,female,55,secondary,married,3
1737,eastern cape,rural,poorer,female,46,"no education, preschool",never married,3
1738,eastern cape,rural,poorer,male,49,secondary,married,2
1739,eastern cape,rural,poorer,female,43,secondary,married,4
1740,eastern cape,rural,poorer,male,27,secondary,married,2
1741,eastern cape,rural,poorer,female,29,higher,married,1
1742,eastern cape,rural,poorest,male,55,primary,divorced/separated,2
1743,eastern cape,rural,poorer,female,29,secondary,married,1
1744,eastern cape,rural,poorer,male,17,secondary,never married,1
1745,eastern cape,rural,poorest,female,41,primary,married,1
1746,eastern cape,rural,poorest,male,16,primary,never married,2
1747,eastern cape,rural,poorest,female,65,"no education, preschool",married,3
1748,eastern cape,rural,poorest,male,24,secondary,never married,2
1749,eastern cape,rural,poorest,female,18,secondary,never married,3
1750,eastern cape,rural,poorest,male,61,"no education, preschool",married,1
1751,eastern cape,rural,poorest,female,66,"no education, preschool",married,2
1752,eastern cape,rural,poorest,female,19,secondary,never married,1
1753,eastern cape,rural,poorer,female,45,secondary,never married,2
1754,eastern cape,rural,poorer,male,22,secondary,never married,2
1755,eastern cape,rural,poorest,female,60,"no education, preschool",widowed,4
1756,eastern cape,rural,poorest,male,32,secondary,never married,2
1757,eastern cape,rural,poorest,female,35,secondary,married,3
1758,eastern cape,rural,poorest,female,76,primary,widowed,1
1759,eastern cape,rural,poorest,female,39,secondary,married,1
1760,eastern cape,rural,poorer,male,18,secondary,never married,1
1761,eastern cape,rural,poorer,male,17,secondary,never married,2
1762,eastern cape,rural,poorer,female,40,secondary,never married,3
1763,north west,rural,middle,male,30,secondary,never married,2
1764,north west,rural,middle,male,61,secondary,married,2
1765,north west,rural,middle,female,30,secondary,married,3
1766,north west,rural,poorer,male,45,secondary,never married,2
1767,north west,rural,middle,male,39,secondary,married,1
1768,north west,rural,middle,female,30,secondary,married,4
1769,north west,rural,richer,male,36,higher,married,4
1770,north west,rural,richer,female,34,higher,married,1
1771,north west,rural,middle,female,55,primary,divorced/separated,4
1772,north west,rural,middle,male,33,secondary,never married,2
1773,north west,rural,middle,female,28,higher,never married,1
1774,north west,rural,middle,female,17,secondary,never married,1
1775,limpopo,rural,poorer,female,23,primary,married,1
1776,limpopo,rural,poorer,female,68,"no education, preschool",divorced/separated,4
1777,limpopo,rural,poorest,female,60,"no education, preschool",widowed,4
1778,limpopo,rural,poorer,female,29,secondary,married,2
1779,limpopo,rural,poorer,female,40,"no education, preschool",never married,3
1780,limpopo,rural,middle,male,29,"no education, preschool",never married,4
1781,limpopo,rural,poorer,female,15,secondary,never married,1
1782,limpopo,rural,poorest,female,37,primary,married,1
1783,limpopo,rural,poorer,female,33,"no education, preschool",married,1
1784,gauteng,urban,richer,male,29,secondary,never married,2
1785,north west,rural,poorer,female,53,secondary,divorced/separated,4
1786,north west,rural,poorer,female,53,"no education, preschool",widowed,4
1787,north west,rural,middle,male,33,secondary,married,2
1788,north west,rural,poorest,male,28,secondary,never married,2
1789,north west,rural,middle,male,43,primary,married,2
1790,north west,rural,middle,female,38,secondary,married,3
1791,north west,rural,poorer,male,23,secondary,never married,2
1792,north west,rural,poorest,male,25,secondary,never married,2
1793,north west,rural,poorest,male,22,secondary,never married,2
1794,north west,rural,poorer,female,45,secondary,widowed,1
1795,limpopo,rural,poorer,male,69,"no education, preschool",married,1
1796,limpopo,rural,poorer,female,15,secondary,never married,3
1797,limpopo,rural,poorer,female,21,secondary,never married,1
1798,limpopo,rural,middle,male,46,secondary,married,2
1799,limpopo,rural,poorer,male,30,higher,never married,2
1800,limpopo,rural,poorer,female,32,primary,married,1
1801,limpopo,rural,poorest,female,17,secondary,never married,1
1802,limpopo,rural,poorest,female,15,primary,never married,1
1803,limpopo,rural,poorer,male,19,secondary,never married,2
1804,gauteng,urban,richer,female,43,secondary,never married,1
1805,gauteng,urban,richer,female,43,secondary,married,3
1806,gauteng,urban,richer,female,16,secondary,never married,1
1807,gauteng,urban,middle,female,43,secondary,never married,2
1808,gauteng,urban,middle,female,23,secondary,never married,1
1809,gauteng,urban,middle,female,19,secondary,never married,2
1810,gauteng,urban,richer,female,39,secondary,never married,3
1811,gauteng,urban,richer,male,21,secondary,never married,2
1812,gauteng,urban,richer,male,19,secondary,never married,1
1813,gauteng,urban,richer,male,45,higher,never married,2
1814,gauteng,urban,richer,female,47,secondary,divorced/separated,1
1815,gauteng,urban,richer,male,51,secondary,married,2
1816,gauteng,urban,richer,male,21,secondary,never married,2
1817,eastern cape,urban,middle,female,48,primary,never married,4
1818,eastern cape,urban,middle,female,30,primary,never married,4
1819,eastern cape,urban,richer,female,46,higher,never married,3
1820,eastern cape,urban,richer,female,79,primary,widowed,5
1821,eastern cape,urban,poorest,male,28,primary,never married,2
1822,eastern cape,urban,richest,female,74,secondary,married,5
1823,eastern cape,urban,middle,male,60,secondary,married,3
1824,eastern cape,urban,middle,male,19,secondary,never married,2
1825,eastern cape,urban,richer,male,56,secondary,married,4
1826,eastern cape,urban,richer,female,57,secondary,married,4
1827,eastern cape,urban,richer,female,36,secondary,never married,4
1828,eastern cape,urban,richer,female,31,primary,never married,3
1829,eastern cape,urban,richer,male,18,secondary,never married,1
1830,eastern cape,urban,middle,male,41,secondary,never married,2
1831,eastern cape,urban,richest,male,80,primary,married,2
1832,eastern cape,urban,richest,female,68,"no education, preschool",married,3
1833,eastern cape,urban,richest,female,41,higher,never married,1
1834,eastern cape,urban,richest,female,23,secondary,never married,2
1835,eastern cape,urban,richest,female,17,secondary,never married,1
1836,north west,rural,middle,male,67,secondary,married,4
1837,north west,rural,middle,female,65,secondary,married,4
1838,north west,rural,poorer,female,63,primary,married,1
1839,north west,rural,poorer,female,23,secondary,never married,1
1840,north west,rural,poorer,male,37,secondary,never married,5
1841,north west,rural,middle,female,56,secondary,divorced/separated,3
1842,north west,rural,middle,male,31,secondary,never married,2
1843,north west,rural,middle,female,27,higher,never married,1
1844,north west,rural,middle,female,20,secondary,never married,3
1845,north west,rural,poorer,female,88,primary,never married,1
1846,north west,rural,poorer,female,59,primary,never married,4
1847,north west,rural,middle,female,55,secondary,never married,4
1848,north west,rural,middle,female,21,higher,never married,1
1849,north west,rural,middle,female,16,secondary,never married,1
1850,north west,rural,middle,female,48,primary,married,4
1851,north west,rural,middle,male,29,secondary,never married,2
1852,north west,rural,middle,female,21,secondary,never married,3
1853,mpumalanga,rural,poorest,female,57,"no education, preschool",married,4
1854,mpumalanga,rural,poorer,male,32,secondary,never married,2
1855,mpumalanga,rural,poorer,female,39,secondary,married,3
1856,mpumalanga,rural,poorer,male,25,higher,never married,2
1857,gauteng,urban,richest,male,61,higher,married,5
1858,gauteng,urban,richest,male,44,higher,married,3
1859,gauteng,urban,richest,female,38,higher,married,5
1860,gauteng,urban,richest,female,16,secondary,never married,1
1861,gauteng,urban,richest,male,54,secondary,married,3
1862,gauteng,urban,richest,female,49,secondary,married,3
1863,gauteng,urban,richest,male,46,higher,married,3
1864,gauteng,urban,richest,female,24,higher,never married,1
1865,gauteng,urban,richest,female,23,secondary,never married,1
1866,gauteng,urban,middle,female,71,"no education, preschool",widowed,4
1867,gauteng,urban,middle,female,22,secondary,never married,1
1868,gauteng,urban,richest,male,67,don't know,married,2
1869,gauteng,urban,richest,female,61,primary,married,5
1870,gauteng,urban,richest,female,50,secondary,married,5
1871,gauteng,urban,richest,male,42,secondary,divorced/separated,2
1872,gauteng,urban,richest,male,35,secondary,never married,2
